Record_ID,Record_Date,Academic_Year,School,School_Type,City,Student_ID,Student_First_Name,Student_Last_Name,Student_Full_Name,Age,Grade_Level,Department,Teacher,Grade_Score,Grade_Category,Presence_Rate_Pct,Absence_Days,Late_Arrivals,Students_Per_Computer,Classroom_Size,Library_Books,Lab_Equipment_Score,Internet_Quality,Playground_Quality,Budget_Per_Student,Teaching_Materials_Budget,Infrastructure_Budget,Extra_Curricular_Budget,Student_Teacher_Ratio,Graduation_Rate_Pct,University_Admission_Rate_Pct,Parent_Satisfaction_Score,Student_Satisfaction_Score,Participates_Sports,Participates_Arts,Participates_Clubs
EDU000001,2023-10-02,2020-2021,Lycée Jean Moulin,Public,Toulouse,STU28289,Nicolas,Durand,Nicolas Durand,15,1ère,Chimie,Lena Fournier,16.0,Excellent (A),75.7,6,7,5,39,1869,75,Bon,Mauvais,1702,34439,82926,2212,25.2,75,84,87,71,Non,Oui,Oui
EDU000002,2024-12-05,2020-2021,Lycée Thomas Edison,Public,Toulouse,STU55082,Jean,Laurent,Jean Laurent,15,2nde,Économie,Sophie Martin,15.3,Très bien (B),88.4,12,2,5,29,12850,76,Bon,Excellent,987,48336,69742,11482,29.7,97,54,66,74,Non,Non,Non
EDU000003,2023-01-07,2022-2023,Lycée Marie Curie,Public,Los Angeles,STU99593,Arthur,Leroy,Arthur Leroy,15,1ère,Physique,Arthur Girard,9.8,Insuffisant (E),84.5,20,7,3,21,8505,92,Excellent,Moyen,2443,22546,27350,8913,28.3,88,85,80,63,Non,Non,Non
EDU000004,2023-06-08,2021-2022,Lycée Marie Curie,Public,Bordeaux,STU80644,Felix,Vincent,Felix Vincent,14,4ème,Physique,Ines Lefevre,16.9,Excellent (A),80.5,4,15,1,21,4592,49,Bon,Mauvais,1060,30216,110039,17337,20.6,87,40,67,84,Non,Non,Oui
EDU000005,2025-10-03,2021-2022,Lycée Simone de Beauvoir,Public,Houston,STU44522,Emma,Mercier,Emma Mercier,14,2nde,Philosophie,Marie Richard,16.7,Excellent (A),82.5,20,6,2,31,6293,74,Excellent,Moyen,2801,6276,39325,13894,27.6,96,59,75,53,Oui,Oui,Oui
EDU000006,2021-06-11,2026-2027,Lycée Montesquieu,Privé,Philadelphia,STU26483,Lena,Vincent,Lena Vincent,13,5ème,Sport,Alice Bonnet,9.7,Insuffisant (E),88.2,19,13,2,37,7591,85,Moyen,Mauvais,2329,33711,145679,16794,12.4,77,44,81,51,Oui,Oui,Oui
EDU000007,2021-04-30,2025-2026,Lycée Jean Jaurès,Privé,Birmingham,STU14117,Nicolas,Dubois,Nicolas Dubois,17,Terminale,Français,Gabriel Lambert,10.7,Moyen (D),80.4,4,15,2,35,14338,52,Excellent,Excellent,2565,28219,121038,15470,19.3,93,53,66,53,Non,Non,Oui
EDU000008,2025-09-12,2021-2022,Lycée Albert Einstein,Privé,Strasbourg,STU34050,Sophie,Garcia,Sophie Garcia,13,4ème,Langues,Jean Bernard,12.4,Bien (C),96.5,17,3,1,40,18713,93,Excellent,Excellent,1768,15899,116539,17913,19.6,97,65,63,60,Non,Oui,Non
EDU000009,2025-10-08,2026-2027,Lycée Simone de Beauvoir,Public,Cardiff,STU82845,Antoine,Garcia,Antoine Garcia,17,1ère,Sport,Pierre Petit,9.3,Insuffisant (E),76.5,17,1,3,21,2643,77,Mauvais,Bon,1032,38281,31000,8089,11.4,72,83,75,75,Oui,Oui,Oui
EDU000010,2024-03-19,2023-2024,Lycée Victor Schoelcher,Public,Marseille,STU36772,David,Leroy,David Leroy,17,1ère,Informatique,Clara Moreau,9.9,Insuffisant (E),91.1,14,10,1,20,16017,79,Excellent,Excellent,1673,38153,79520,6340,28.7,98,44,75,73,Non,Oui,Non
